Gender,Loan.Offered,Job,Work.Exp,Credit.Score,EMI.Ratio,Status,Credit.History,Own house,Purpose,Dependents
Male,0,unskilled,14,86,3,No,poor,1,personal,2
Female,1,skilled,15,94,3,No,poor,1,personal,3
Male,0,unskilled,16,86,3,No,poor,1,personal,2
Female,1,skilled,13,94,3,No,poor,1,personal,3
Male,1,skilled,12,85,3.3,No,poor,1,personal,2
Female,1,Management,12,86,3.6,No,critical,1,personal,4
Female,1,Management,15,86,3.6,No,critical,1,personal,4
Male,1,skilled,12,85,3.6,No,poor,1,personal,2
Male,1,skilled,13,87,3.9,No,critical,1,personal,2
Male,1,skilled,13,89,4,No,critical,1,personal,0
Female,1,skilled,15,90,4.1,No,critical,1,personal,3
Male,1,skilled,16,89,4.2,No,critical,1,personal,0
Female,1,skilled,16,90,4.3,No,critical,1,personal,3
Male,1,skilled,17,93,4.3,No,critical,1,personal,2
Male,1,skilled,15,95,4.4,No,critical,1,personal,2
Male,1,skilled,13,87,4.4,No,critical,1,personal,2
Male,1,skilled,13,85,4.5,No,poor,1,car,2
Male,1,skilled,11,82,4.5,No,critical,1,personal,2
Male,1,skilled,14,95,4.5,No,critical,1,personal,2
Male,1,skilled,13,87,4.5,No,critical,1,personal,0
Male,1,skilled,13,87,4.6,No,critical,1,personal,0
Male,1,skilled,14,87,4.6,No,critical,1,personal,2
Male,1,skilled,15,87,4.6,No,critical,1,personal,0
Female,1,skilled,15,90,4.6,No,critical,1,personal,3
Male,1,skilled,17,93,4.6,No,critical,1,personal,2
Male,1,skilled,15,87,4.6,No,critical,1,personal,0
Female,1,skilled,15,90,4.6,No,critical,1,personal,3
Male,1,skilled,7,79,4.9,No,critical,1,personal,2
Male,1,skilled,12,91,4.9,No,poor,1,personal,2
Female,1,skilled,15,89,4.9,No,critical,1,personal,3
Male,1,Management,16,90,5,No,critical,1,personal,3
Male,1,Management,15,90,5,No,critical,1,personal,3
Female,1,skilled,10,85,5.1,No,poor,1,personal,3
Female,1,skilled,13,89,5.1,No,critical,1,personal,3
Male,0,unskilled,11,84,5.1,No,critical,1,personal,2
Female,0,unskilled,16,91,5.1,No,critical,1,education,3
Male,0,unskilled,16,94,5.1,No,critical,1,personal,2
Male,1,skilled,8,79,5.2,No,critical,1,personal,2
Female,1,skilled,11,85,5.2,No,poor,1,personal,3
Female,1,skilled,13,88,5.2,No,critical,1,education,3
Male,0,unskilled,16,94,5.2,No,critical,1,personal,2
Male,0,unskilled,17,91,5.2,No,critical,1,education,2
Male,1,Management,13,86,5.3,No,critical,1,education,3
Male,1,skilled,11,85,5.3,No,critical,1,education,2
Female,1,skilled,10,84,5.3,No,critical,1,education,3
Male,1,skilled,13,89,5.3,No,critical,1,personal,2
Male,1,skilled,16,94,5.3,No,critical,1,personal,2
Male,1,skilled,13,91,5.3,No,poor,1,personal,2
Female,0,unskilled,13,91,5.3,No,critical,1,education,3
Male,0,unskilled,16,93,5.3,No,critical,1,personal,2
Female,0,unskilled,17,91,5.3,No,critical,1,personal,3
Male,1,Management,15,93,5.4,No,critical,1,education,3
Male,1,skilled,14,94,5.4,No,critical,1,personal,2
Male,0,unskilled,13,84,5.4,No,critical,1,personal,2
Female,1,skilled,12,84,5.5,No,critical,1,education,3
Female,1,skilled,11,84,5.5,No,critical,1,education,3
Male,0,unskilled,15,93,5.5,No,critical,1,personal,2
Male,0,unskilled,15,93,5.5,No,poor,1,personal,2
Male,0,unskilled,17,92,5.5,No,critical,1,education,2
Male,1,Management,12,86,5.6,No,critical,1,education,3
Female,0,unskilled,15,91,5.6,No,poor,1,personal,3
Male,1,Management,14,93,5.7,No,critical,1,education,3
Female,1,skilled,13,84,5.7,No,critical,1,education,3
Male,1,skilled,15,94,5.7,No,critical,1,education,2
Male,1,skilled,11,88,5.7,No,critical,1,education,2
Female,1,skilled,14,90,5.8,No,critical,1,education,3
Male,1,skilled,12,88,5.8,No,critical,1,education,2
Male,0,unskilled,16,92,5.8,No,critical,1,education,2
Female,1,Management,14,94,5.9,No,critical,1,education,4
Male,1,skilled,12,84,5.9,No,critical,1,education,2
Male,1,skilled,11,86,5.9,No,critical,1,education,2
Male,1,skilled,13,88,5.9,No,critical,1,education,2
Male,0,unskilled,8,65,5.9,No,critical,1,education,2
Female,0,unskilled,13,91,5.9,No,poor,0,personal,3
Male,0,unskilled,14,94,5.9,No,poor,1,personal,2
Male,0,Management,10,84,6,No,critical,1,education,3
Female,1,Management,15,94,6,No,critical,1,education,4
Female,1,skilled,16,94,6,No,critical,1,education,3
Male,1,skilled,17,92,6,No,critical,1,education,2
Male,0,unskilled,18,95,6,No,poor,1,personal,2
Male,0,unskilled,17,95,6,No,poor,1,personal,2
Male,0,Management,12,84,6.1,No,critical,1,education,3
Female,1,Management,13,94,6.1,No,critical,1,education,4
Female,1,Management,17,94,6.1,No,critical,1,education,4
Female,1,skilled,11,84,6.1,No,critical,1,education,3
Female,1,skilled,12,86,6.1,No,critical,1,education,3
Male,1,skilled,13,86,6.1,No,critical,1,education,2
Male,0,unskilled,17,91,6.1,No,critical,1,education,2
Female,0,Management,12,85,6.2,No,critical,1,education,4
Male,0,Management,15,94,6.2,No,critical,1,education,3
Male,1,skilled,14,85,6.2,No,critical,1,education,2
Female,1,skilled,17,96,6.2,No,critical,1,education,3
Male,1,skilled,16,96,6.2,No,critical,1,education,2
Male,0,unskilled,11,82,6.2,No,critical,1,education,2
Female,0,unskilled,13,85,6.2,No,critical,1,education,3
Female,0,Management,18,96,6.3,No,critical,1,education,4
Male,1,skilled,12,84,6.3,No,critical,1,education,2
Female,1,skilled,11,80,6.3,No,critical,1,education,3
Female,1,skilled,11,84,6.3,No,critical,1,education,3
Female,1,skilled,11,80,6.3,No,critical,1,education,3
Male,1,skilled,14,92,6.3,No,critical,1,education,2
Female,1,skilled,15,94,6.3,No,critical,1,education,3
Male,1,skilled,13,91,6.3,No,critical,1,education,2
Male,0,unskilled,8,65,6.3,No,critical,1,education,2
Male,0,unskilled,14,94,6.3,No,poor,1,personal,2
Male,1,Management,14,88,6.4,No,critical,1,education,3
Male,1,skilled,15,84,6.4,No,critical,1,education,2
Male,1,skilled,15,91,6.4,No,critical,1,education,2
Male,1,skilled,12,86,6.4,No,critical,1,education,2
Male,1,skilled,14,93,6.4,No,critical,1,education,2
Male,1,skilled,17,94,6.4,No,critical,1,education,2
Male,1,skilled,12,84,6.5,No,critical,0,education,2
Male,1,skilled,14,84,6.5,No,good,0,consumer.durable,2
Male,1,skilled,14,88,6.5,No,critical,0,education,2
Male,1,skilled,12,86,6.5,No,poor,0,personal,0
Male,0,unskilled,11,85,6.5,No,critical,0,education,2
Male,0,unskilled,15,88,6.5,No,poor,0,personal,2
Female,0,Management,15,87,6.6,No,good,0,consumer.durable,4
Male,1,skilled,9,82,6.6,No,critical,0,education,2
Male,1,skilled,14,85,6.6,No,critical,0,education,2
Female,1,skilled,13,86,6.6,No,critical,0,education,3
Male,1,skilled,14,94,6.6,No,critical,0,education,2
Female,1,skilled,15,92,6.6,No,critical,0,education,3
Male,0,unskilled,11,82,6.6,No,critical,0,education,2
Male,0,unskilled,14,90,6.6,No,critical,0,education,2
Male,0,unskilled,15,90,6.6,No,critical,0,education,2
Male,1,Management,10,82,6.7,No,critical,0,education,3
Male,1,Management,15,93,6.7,No,critical,0,education,3
Female,0,Management,14,87,6.7,No,good,0,consumer.durable,4
Female,1,skilled,15,97,6.7,No,critical,0,education,3
Male,1,skilled,16,93,6.7,No,poor,1,personal,2
Male,0,unskilled,13,85,6.7,No,critical,1,education,2
Male,0,unskilled,17,93,6.7,No,critical,1,education,2
Female,0,Management,14,96,6.8,No,critical,1,education,4
Male,1,Management,13,88,6.8,No,critical,1,education,3
Male,1,Management,17,93,6.8,No,critical,1,education,3
Female,1,skilled,12,84,6.8,No,critical,1,education,3
Male,1,skilled,11,83,6.8,No,good,1,consumer.durable,2
Female,1,skilled,15,96,6.8,No,critical,1,education,3
Male,1,skilled,14,91,6.8,No,critical,1,education,2
Male,1,skilled,15,93,6.8,No,critical,1,education,2
Female,1,skilled,14,97,6.8,No,critical,1,education,3
Female,0,unskilled,13,85,6.8,No,critical,1,education,3
Female,0,unskilled,14,87,6.8,No,good,1,consumer.durable,3
Male,1,skilled,14,84,6.9,No,good,1,consumer.durable,2
Male,1,skilled,9,81,6.9,No,good,1,consumer.durable,2
Male,1,skilled,13,91,6.9,No,good,1,consumer.durable,2
Male,1,skilled,17,93,6.9,No,good,1,consumer.durable,2
Female,1,skilled,17,94,6.9,No,critical,1,education,3
Male,0,unskilled,13,88,6.9,No,good,1,consumer.durable,2
Female,0,unskilled,11,86,6.9,No,good,1,consumer.durable,3
Male,1,Management,10,82,7,No,critical,1,education,3
Male,0,Management,15,96,7,No,good,1,consumer.durable,3
Male,1,skilled,14,93,7,No,good,1,consumer.durable,2
Female,1,skilled,17,92,7,No,critical,1,education,3
Male,0,unskilled,14,93,7,No,good,1,consumer.durable,2
Male,1,skilled,11,81,7.1,No,good,1,consumer.durable,2
Female,1,skilled,10,84,7.1,No,good,1,consumer.durable,3
Female,1,skilled,14,91,7.1,No,good,1,consumer.durable,3
Female,1,skilled,13,94,7.1,No,critical,1,education,3
Female,1,skilled,17,94,7.1,No,critical,1,education,3
Male,1,skilled,14,91,7.1,No,good,1,consumer.durable,2
Female,1,skilled,13,94,7.1,No,good,1,consumer.durable,3
Female,0,unskilled,11,86,7.1,No,good,1,consumer.durable,3
Male,0,Management,13,93,7.2,No,good,1,consumer.durable,1
Male,1,skilled,11,86,7.2,No,good,1,consumer.durable,2
Female,1,skilled,14,94,7.2,No,good,1,consumer.durable,3
Female,1,skilled,15,90,7.2,No,good,1,consumer.durable,3
Female,0,unskilled,13,87,7.2,No,good,0,consumer.durable,3
Male,0,unskilled,11,88,7.2,No,good,1,consumer.durable,2
Male,0,unskilled,14,93,7.2,No,good,1,consumer.durable,2
Male,1,Management,9,76,7.3,No,good,1,consumer.durable,3
Male,0,Management,10,85,7.3,No,critical,1,education,3
Male,0,Management,10,81,7.3,No,good,1,consumer.durable,3
Male,0,Management,16,93,7.3,No,good,1,consumer.durable,1
Male,1,Management,13,91,7.3,No,good,1,consumer.durable,1
Male,1,skilled,12,83,7.3,No,good,1,consumer.durable,0
Female,1,skilled,10,84,7.3,No,critical,1,education,3
Male,1,skilled,10,78,7.3,No,good,1,consumer.durable,2
Female,1,skilled,17,94,7.3,No,critical,1,education,3
Male,1,skilled,16,96,7.3,No,good,1,consumer.durable,0
Female,0,unskilled,10,81,7.3,No,critical,1,education,3
Female,0,unskilled,11,83,7.3,No,good,1,consumer.durable,3
Male,0,unskilled,16,93,7.3,No,good,0,consumer.durable,2
Male,1,skilled,8,81,7.4,No,good,1,consumer.durable,2
Male,1,skilled,14,86,7.4,No,good,1,consumer.durable,2
Female,1,skilled,11,84,7.4,No,good,1,consumer.durable,3
Male,1,skilled,12,88,7.4,No,good,1,consumer.durable,0
Male,1,skilled,12,90,7.4,No,critical,1,education,2
Male,1,skilled,15,90,7.4,No,good,1,consumer.durable,2
Male,0,unskilled,14,90,7.4,No,good,1,consumer.durable,2
Male,1,Management,16,93,7.5,No,good,1,consumer.durable,3
Male,0,Management,16,89,7.5,No,good,1,consumer.durable,3
Male,1,Management,13,87,7.5,No,good,1,consumer.durable,3
Male,1,Management,14,93,7.5,No,good,1,consumer.durable,3
Male,1,Management,14,90,7.5,No,good,1,consumer.durable,3
Male,1,skilled,13,85,7.5,No,good,1,consumer.durable,2
Male,1,skilled,11,83,7.5,No,good,1,consumer.durable,2
Male,1,skilled,8,82,7.5,No,good,1,consumer.durable,2
Male,1,skilled,15,91,7.5,No,good,1,consumer.durable,2
Female,1,skilled,16,90,7.5,No,good,1,consumer.durable,3
Male,0,unskilled,12,88,7.5,No,good,1,consumer.durable,2
Male,0,Management,11,81,7.6,No,good,1,consumer.durable,3
Male,1,Management,12,91,7.6,No,good,1,consumer.durable,1
Male,1,skilled,16,85,7.6,No,good,1,consumer.durable,2
Male,1,skilled,12,88,7.6,No,good,1,consumer.durable,2
Male,1,skilled,14,91,7.6,No,good,1,consumer.durable,2
Female,0,skilled,14,86,7.6,No,good,1,consumer.durable,3
Male,0,skilled,14,90,7.6,No,good,1,consumer.durable,2
Male,0,unskilled,16,90,7.6,No,good,1,consumer.durable,2
Male,0,unskilled,14,90,7.6,No,good,1,consumer.durable,2
Male,1,skilled,14,92,7.6,No,good,1,consumer.durable,2
Male,1,skilled,17,96,7.6,No,good,1,consumer.durable,0
Male,1,Management,10,81,7.7,No,good,1,consumer.durable,3
Male,1,skilled,11,83,7.7,No,good,1,consumer.durable,0
Male,1,skilled,14,85,7.7,No,good,1,consumer.durable,2
Male,1,skilled,13,85,7.7,No,good,1,consumer.durable,2
Male,1,skilled,12,78,7.7,No,good,1,consumer.durable,2
Male,0,skilled,12,88,7.7,No,good,1,consumer.durable,2
Female,0,skilled,19,95,7.7,No,good,1,consumer.durable,3
Male,1,skilled,11,88,7.7,No,good,1,consumer.durable,2
Male,1,skilled,18,94,7.7,No,good,1,consumer.durable,3
Male,1,skilled,13,88,7.7,No,good,0,consumer.durable,2
Male,1,skilled,15,88,7.7,No,good,1,consumer.durable,2
Female,1,skilled,16,90,7.7,No,good,1,consumer.durable,4
Male,1,Management,5,64,7.8,No,good,1,consumer.durable,3
Female,0,skilled,19,95,7.8,No,good,1,consumer.durable,3
Male,0,skilled,13,89,7.8,No,good,1,consumer.durable,3
Male,0,unskilled,12,85,7.8,No,good,1,consumer.durable,0
Female,0,unskilled,9,81,7.8,No,critical,1,education,3
Female,1,skilled,16,94,7.8,No,critical,0,education,4
Male,1,skilled,14,90,7.8,No,critical,0,education,2
Male,1,skilled,12,87,7.8,No,good,1,consumer.durable,3
Female,1,skilled,13,90,7.8,No,good,1,consumer.durable,3
Male,1,skilled,18,92,7.8,No,good,1,consumer.durable,2
Male,1,skilled,16,89,7.8,No,good,1,consumer.durable,2
Male,1,skilled,17,93,7.8,No,critical,1,education,2
Female,1,skilled,15,87,7.8,No,critical,1,education,3
Female,1,skilled,13,91,7.8,No,good,0,consumer.durable,3
Male,1,skilled,18,95,7.8,No,good,1,consumer.durable,3
Male,1,Management,13,85,7.9,No,good,1,consumer.durable,3
Male,0,Management,11,82,7.9,No,good,1,consumer.durable,3
Male,1,Management,8,72,7.9,No,good,1,consumer.durable,3
Male,1,skilled,13,86,7.9,No,good,1,consumer.durable,2
Male,0,skilled,17,93,7.9,No,good,1,consumer.durable,0
Male,1,skilled,14,86,7.9,No,good,1,consumer.durable,2
Male,1,skilled,13,90,7.9,No,good,1,consumer.durable,0
Male,1,skilled,13,91,7.9,No,good,1,consumer.durable,2
Male,1,skilled,15,88,7.9,No,good,1,consumer.durable,0
Female,1,skilled,15,92,7.9,No,good,1,consumer.durable,3
Male,1,skilled,15,91,7.9,No,good,1,consumer.durable,2
Male,0,Management,11,85,8,No,critical,1,education,3
Male,1,Management,9,81,8,No,good,1,consumer.durable,3
Male,1,Management,10,76,8,No,good,1,consumer.durable,3
Male,1,skilled,13,86,8,No,good,1,consumer.durable,2
Female,1,skilled,14,85,8,No,good,1,consumer.durable,3
Female,1,skilled,17,92,8,No,good,1,consumer.durable,3
Female,1,skilled,14,90,8,No,good,1,consumer.durable,4
Female,1,skilled,12,91,8,No,good,1,consumer.durable,3
Male,1,skilled,12,87,8,No,good,1,consumer.durable,3
Male,1,skilled,15,86,8,No,good,1,consumer.durable,2
Male,1,skilled,13,86,8,No,good,1,consumer.durable,0
Female,1,skilled,11,83,8.1,No,good,1,consumer.durable,3
Female,0,skilled,13,91,8.1,No,good,1,consumer.durable,3
Male,0,skilled,16,93,8.1,No,good,1,consumer.durable,0
Female,0,unskilled,13,85,8.1,No,critical,1,education,3
Male,1,skilled,13,88,8.1,No,good,0,consumer.durable,3
Male,1,skilled,14,92,8.1,No,good,1,consumer.durable,2
Male,1,skilled,18,93,8.1,No,critical,1,education,2
Female,1,skilled,13,90,8.1,No,critical,1,education,3
Male,0,Management,11,84,8.2,No,good,1,consumer.durable,3
Male,1,Management,8,72,8.2,No,good,1,consumer.durable,3
Male,1,Management,5,64,8.2,No,good,1,consumer.durable,3
Male,1,skilled,12,84,8.2,No,good,1,consumer.durable,2
Female,1,skilled,5,69,8.2,No,good,1,consumer.durable,3
Male,1,skilled,11,78,8.2,No,critical,1,education,2
Male,0,skilled,13,90,8.2,No,good,1,consumer.durable,2
Male,0,skilled,14,93,8.2,No,good,1,consumer.durable,3
Male,1,skilled,15,91,8.2,No,good,1,consumer.durable,2
Male,1,skilled,15,92,8.2,No,good,1,consumer.durable,2
Male,1,skilled,13,91,8.2,No,good,1,consumer.durable,3
Male,1,skilled,15,89,8.2,No,good,1,consumer.durable,2
Male,1,skilled,16,88,8.2,No,good,1,consumer.durable,2
Male,1,skilled,14,90,8.3,No,good,0,consumer.durable,2
Male,1,skilled,15,88,8.3,No,good,1,consumer.durable,3
Male,1,skilled,14,86,8.3,No,good,1,consumer.durable,0
Male,1,Management,13,85,8.4,No,good,1,consumer.durable,3
Female,0,skilled,13,86,8.4,No,good,1,consumer.durable,3
Female,0,skilled,13,88,8.4,No,good,1,consumer.durable,3
Female,0,skilled,15,88,8.4,No,good,1,consumer.durable,3
Male,0,unskilled,14,85,8.4,No,good,1,consumer.durable,2
Male,1,skilled,15,94,8.4,No,good,1,consumer.durable,3
Male,1,skilled,14,91,8.4,No,good,1,consumer.durable,2
Male,0,Management,13,87,8.5,No,good,1,consumer.durable,3
Female,1,skilled,11,84,8.5,No,very good,1,consumer.durable,3
Male,1,skilled,13,84,8.5,No,good,1,consumer.durable,2
Female,1,skilled,5,69,8.5,No,good,1,consumer.durable,3
Male,0,unskilled,12,84,8.5,No,very good,1,consumer.durable,2
Male,0,unskilled,12,84,8.5,No,good,1,consumer.durable,2
Female,1,skilled,14,87,8.5,No,very good,1,consumer.durable,3
Female,1,skilled,14,90,8.5,No,critical,1,education,3
Male,1,skilled,17,94,8.5,No,good,1,consumer.durable,2
Male,0,Management,13,87,8.6,No,good,1,consumer.durable,3
Male,1,Management,4,69,8.6,No,good,1,consumer.durable,1
Female,1,skilled,9,83,8.6,No,good,1,consumer.durable,3
Female,1,skilled,14,86,8.6,No,good,1,consumer.durable,3
Female,0,skilled,14,91,8.6,No,critical,1,consumer.durable,3
Male,0,unskilled,13,84,8.6,No,good,1,consumer.durable,2
Male,1,skilled,14,87,8.6,No,good,1,consumer.durable,3
Male,1,skilled,13,90,8.6,No,good,1,consumer.durable,0
Male,1,skilled,18,94,8.6,No,good,1,consumer.durable,2
Male,0,skilled,14,90,8.7,No,good,1,consumer.durable,2
Female,0,skilled,15,91,8.7,No,critical,1,consumer.durable,3
Male,0,unskilled,11,85,8.7,No,good,1,consumer.durable,2
Male,0,unskilled,15,85,8.7,No,good,1,consumer.durable,0
Male,1,skilled,16,93,8.7,No,good,0,consumer.durable,3
Male,1,Management,13,85,8.8,No,good,1,consumer.durable,1
Male,0,unskilled,10,84,8.8,No,very good,1,consumer.durable,0
Male,0,unskilled,14,86,8.8,No,very good,1,consumer.durable,2
Male,1,skilled,14,92,8.8,No,good,1,consumer.durable,2
Male,1,skilled,14,92,8.8,No,good,1,consumer.durable,2
Male,1,skilled,18,94,8.8,No,good,0,consumer.durable,2
Male,1,Management,6,64,8.9,No,critical,1,education,3
Male,0,Management,13,84,8.9,No,good,1,consumer.durable,3
Male,1,skilled,9,81,8.9,No,very good,1,consumer.durable,2
Male,1,skilled,12,85,8.9,No,critical,1,consumer.durable,0
Male,1,skilled,17,90,8.9,No,very good,1,consumer.durable,2
Male,1,skilled,14,91,8.9,No,very good,0,car,1
Male,1,skilled,14,90,8.9,No,very good,1,consumer.durable,2
Male,1,skilled,12,88,8.9,No,good,1,consumer.durable,3
Female,1,skilled,17,92,8.9,No,good,1,consumer.durable,3
Female,1,skilled,14,84,9,No,good,1,consumer.durable,3
Male,1,skilled,12,83,9,No,very good,1,consumer.durable,2
Male,1,skilled,16,94,9,No,good,1,consumer.durable,2
Male,1,skilled,16,88,9,No,good,1,consumer.durable,0
Male,1,Management,11,85,9.1,No,good,1,consumer.durable,1
Male,1,Management,11,85,9.1,No,good,1,consumer.durable,1
Male,1,Management,4,69,9.1,No,good,1,consumer.durable,1
Female,1,skilled,12,86,9.1,No,good,1,consumer.durable,3
Female,1,skilled,14,84,9.1,No,good,1,consumer.durable,3
Female,1,skilled,12,84,9.1,No,good,1,consumer.durable,1
Male,1,skilled,16,87,9.1,No,good,1,consumer.durable,3
Female,1,skilled,18,92,9.1,No,good,0,consumer.durable,4
Female,1,skilled,13,88,9.1,No,good,1,consumer.durable,3
Male,1,skilled,13,88,9.1,No,good,1,consumer.durable,0
Female,1,skilled,16,90,9.1,No,critical,1,consumer.durable,3
Male,1,Management,12,84,9.2,No,good,1,consumer.durable,3
Female,1,skilled,13,84,9.2,No,very good,1,consumer.durable,3
Male,1,skilled,14,85,9.2,No,critical,1,consumer.durable,0
Male,0,unskilled,12,84,9.2,No,very good,1,consumer.durable,0
Female,1,skilled,16,90,9.2,No,critical,1,consumer.durable,3
Male,1,skilled,18,93,9.2,No,very good,1,consumer.durable,3
Male,1,skilled,15,92,9.3,No,very good,1,consumer.durable,3
Female,1,skilled,18,92,9.3,No,good,0,consumer.durable,4
Male,1,skilled,14,93,9.3,No,good,1,consumer.durable,3
Male,1,skilled,17,93,9.3,No,very good,1,consumer.durable,3
Female,1,skilled,13,88,9.3,No,good,1,consumer.durable,3
Male,0,Management,12,81,9.4,No,very good,1,consumer.durable,3
Female,1,skilled,13,87,9.4,No,very good,0,consumer.durable,3
Male,1,skilled,17,94,9.4,No,good,1,consumer.durable,2
Female,1,skilled,13,88,9.4,No,very good,0,consumer.durable,4
Male,1,skilled,13,88,9.4,No,very good,1,car,2
Male,1,Management,11,84,9.5,No,very good,1,consumer.durable,3
Male,1,Management,6,66,9.5,No,very good,1,consumer.durable,3
Female,0,Management,10,85,9.5,No,very good,1,consumer.durable,4
Male,1,skilled,12,84,9.5,No,very good,1,car,2
Female,0,unskilled,10,78,9.5,No,very good,1,car,3
Male,0,unskilled,12,86,9.5,No,very good,1,consumer.durable,2
Male,1,skilled,13,87,9.5,No,very good,1,car,2
Female,1,skilled,15,88,9.5,No,very good,1,consumer.durable,4
Male,0,Management,10,81,9.6,No,very good,1,consumer.durable,3
Male,1,Management,12,86,9.6,No,very good,1,car,3
Male,1,Management,12,85,9.6,No,good,1,consumer.durable,1
Female,0,Management,11,85,9.6,No,very good,1,consumer.durable,4
Male,1,skilled,15,84,9.6,No,very good,1,car,2
Male,1,skilled,13,83,9.6,No,very good,1,consumer.durable,2
Male,0,skilled,13,88,9.6,No,very good,1,car,1
